male,drink,gpa,malegpa
1,5,3.200000047683716,3.200000047683716
0,9,3,0
1,29,2.8499999046325684,2.8499999046325684
0,22,NA,NA
0,19,NA,NA
1,19,NA,NA
1,24,NA,NA
1,6,3,3
0,17,2.4100000858306885,0
0,12,3.5,0
1,12,2.950000047683716,2.950000047683716
0,14,NA,NA
0,26,NA,NA
0,25,NA,NA
0,25,NA,NA
1,22,NA,NA
0,16,4,0
0,29,NA,NA
0,24,3.5,0
1,31,2.0999999046325684,2.0999999046325684
0,18,NA,NA
0,16,NA,NA
1,20,3,3
1,23,NA,NA
0,5,3.319999933242798,0
0,15,NA,NA
0,4,NA,NA
0,20,1.4500000476837158,0
1,28,NA,NA
0,20,3,0
1,19,NA,NA
0,26,NA,NA
1,18,NA,NA
0,22,3.0799999237060547,0
0,25,NA,NA
1,19,2.5,2.5
0,24,NA,NA
1,23,NA,NA
0,15,3,0
1,13,3.5,3.5
1,17,3.25,3.25
0,18,3.0199999809265137,0
1,18,3.2100000381469727,3.2100000381469727
1,20,2.5,2.5
1,22,2.5999999046325684,2.5999999046325684
0,19,3,0
1,32,2.5999999046325684,2.5999999046325684
0,20,2.700000047683716,0
1,33,3.200000047683716,3.200000047683716
1,17,2.8499999046325684,2.8499999046325684
0,21,2.8499999046325684,0
0,26,3.0799999237060547,0
1,17,2,2
1,26,2.5999999046325684,2.5999999046325684
0,10,3.3299999237060547,0
1,22,2.700000047683716,2.700000047683716
0,20,2.5,0
1,27,2.950000047683716,2.950000047683716
1,27,3.4000000953674316,3.4000000953674316
0,15,2.5,0
0,24,2.299999952316284,0
1,24,2.5999999046325684,2.5999999046325684
0,17,2.950000047683716,0
0,26,1.7999999523162842,0
0,4,2.5799999237060547,0
1,26,2,2
1,21,2.0999999046325684,2.0999999046325684
1,27,1.899999976158142,1.899999976158142
0,16,2.5,0
0,16,3.549999952316284,0
0,4,2.1500000953674316,0
0,13,2.5,0
0,27,2.4000000953674316,0
1,28,2,2
