country,year,gdppc,spending
Afghanistan,2019,586.204,NA
Albania,2019,5345.058,29.153131853509
Algeria,2019,3953.402,41.784138412085
Andorra,2019,40688.491,NA
Angola,2019,2612.246,20.402983885059
Antigua and Barbuda,2019,17495.76,22.618979090399
Argentina,2019,10054.023,37.702664888891
Armenia,2019,4596.861,NA
Aruba,2019,30850.838,23.208694894753
Australia,2019,54266.751,39.01335486427
Austria,2019,50195.321,48.565925485571
Azerbaijan,2019,4826.352,32.530599683865
"Bahamas, The",2019,34650.118,20.07196102264
Bahrain,2019,26051.303,32.680964823678
Bangladesh,2019,2154.227,13.552181912706
Barbados,2019,18448.826,26.946654515526
Belarus,2019,6831.516,NA
Belgium,2019,46780.073,51.888047842088
Belize,2019,5916.225,27.64909785068
Benin,2019,1170.397,14.601111698043
Bhutan,2019,3322.527,25.47205292596
Bolivia,2019,3591.403,36.065849067415
Bosnia and Herzegovina,2019,5867.26,NA
Botswana,2019,6679.188,NA
Brazil,2019,8914.171,37.369619234387
Brunei Darussalam,2019,29866.595,NA
Bulgaria,2019,9914.386,35.852939605713
Burkina Faso,2019,772.229,23.494822096227
Burundi,2019,261.294,28.771004158979
Cabo Verde,2019,3947.491,28.500290283735
Cambodia,2019,1736.317,23.816589500632
Cameroon,2019,1533.161,NA
Canada,2019,46449.962,40.654066509929
Central African Republic,2019,480.176,16.912257123475
Chad,2019,689.327,14.345674157191
Chile,2019,14567.988,26.468057447189
"China, People's Republic of",2019,10170.061,34.152609326373
Colombia,2019,6540.141,32.878861580952
Comoros,2019,1359.75,20.179957622809
"Congo, Dem. Rep. of the",2019,578.891,NA
"Congo, Republic of",2019,2826.475,22.022512017918
Costa Rica,2019,12691.126,21.734462610115
Croatia,2019,15089.097,46.067079383254
Cyprus,2019,29624.325,38.374351909396
Czech Republic,2019,23713.889,41.053903497852
Côte d'Ivoire,2019,2275.463,17.329422264444
Denmark,2019,59678.596,49.667778039815
Djibouti,2019,3172.751,24.404223588002
Dominica,2019,8466.407,48.280940716275
Dominican Republic,2019,8595.611,16.591216557272
Ecuador,2019,6260.603,37.109407265673
Egypt,2019,3214.301,NA
El Salvador,2019,4280.299,27.207926747181
Equatorial Guinea,2019,8355.342,16.799363443837
Eritrea,2019,566.731,NA
Estonia,2019,23427.074,39.38810137898
Eswatini,2019,4031.719,34.010522076691
Fiji,2019,6126.636,30.270127359087
Finland,2019,48667.723,53.281524902234
France,2019,41924.837,55.351806156377
Gabon,2019,8111.34,17.407243581663
"Gambia, The",2019,768.921,NA
Georgia,2019,4693.66,28.947069618784
Germany,2019,46798.83,44.990786753655
Ghana,2019,2265.715,21.147813753917
Greece,2019,19140.988,47.796452933151
Grenada,2019,10834.496,21.64261418519
Guatemala,2019,4379.802,13.441404478159
Guinea,2019,986.528,14.978425230811
Guinea-Bissau,2019,836.954,18.796798766421
Guyana,2019,6594.375,28.366166568007
Haiti,2019,1277.213,10.124610206085
Honduras,2019,2568.062,25.724374447628
Hong Kong SAR,2019,48277.982,20.950799942017
Hungary,2019,16778.75,45.965924485295
Iceland,2019,69087.561,43.323352545856
India,2019,2050.163,27.422790685859
Indonesia,2019,4194.086,16.382753312059
Iran,2019,2908.918,14.140221595764
Iraq,2019,5982.792,NA
Ireland,2019,80694.065,24.260859814132
Israel,2019,44466.798,38.475197811082
Italy,2019,33628.143,48.473338739743
Jamaica,2019,5781.785,29.718461127875
Japan,2019,40547.967,37.265617427731
Jordan,2019,4460.394,30.310467049275
Kazakhstan,2019,9750.43,NA
Kenya,2019,2108.791,24.399959528221
Kiribati,2019,1492.126,132.57262104387
"Korea, Republic of",2019,31902.417,22.550970562143
Kosovo,2019,4432.996,NA
Kuwait,2019,28513.431,52.340009272014
Kyrgyz Republic,2019,1388.647,32.579613919272
Lao P.D.R.,2019,2602.623,NA
Latvia,2019,17889.752,NA
Lebanon,2019,7421.491,31.173649558581
Lesotho,2019,1159.368,55.809804526057
Liberia,2019,623.887,NA
Libya,2019,10526.294,NA
Lithuania,2019,19597.295,NA
Luxembourg,2019,113754.937,42.870242934672
Macao SAR,2019,81231.549,NA
Madagascar,2019,531.75,15.361529815458
Malawi,2019,543.685,NA
Malaysia,2019,11231.539,23.576653723249
Maldives,2019,15056.424,33.613724863436
Mali,2019,840.211,NA
Malta,2019,32180.574,NA
Marshall Islands,2019,4302.655,64.756958870484
Mauritania,2019,1987.267,NA
Mauritius,2019,11407.849,NA
Mexico,2019,10025.539,25.961707122448
"Micronesia, Fed. States of",2019,3979.627,54.456060281355
Moldova,2019,4376.654,31.98540820867
Mongolia,2019,4309.049,30.819079243258
Montenegro,2019,8911.275,NA
Morocco,2019,3622.679,27.362068047709
Mozambique,2019,508.164,NA
Myanmar,2019,1302.277,NA
Namibia,2019,5099.427,37.414937061579
Nauru,2019,10567.406,NA
Nepal,2019,1185.682,NA
Netherlands,2019,52672.504,42.011918012927
New Zealand,2019,42287.322,38.743269915429
Nicaragua,2019,1924.473,27.830017089844
Niger,2019,554.124,21.570163570869
Nigeria,2019,2229.854,12.522603354502
North Macedonia,2019,6073.003,31.405707950101
Norway,2019,76518.169,50.674255868695
Oman,2019,19069.311,38.778579817168
Pakistan,2019,1500.683,19.053750386915
Palau,2019,15848.021,NA
Panama,2019,15877.566,21.900009571577
Papua New Guinea,2019,2877.497,20.74743597172
Paraguay,2019,5302.239,22.976395997684
Peru,2019,7006.337,21.148898805788
Philippines,2019,3512.195,21.670556475985
Poland,2019,15694.594,41.77212159449
Portugal,2019,23333.317,42.45098325502
Puerto Rico,2019,32851.875,NA
Qatar,2019,63007.696,32.464350964313
Romania,2019,12928.148,33.808629458648
Russian Federation,2019,11555.269,33.752263876455
Rwanda,2019,836.716,28.182413870412
Saint Kitts and Nevis,2019,19593.765,36.273865321419
Saint Lucia,2019,11646.007,25.138996364846
Saint Vincent and the Grenadines,2019,8234.203,30.18763521718
Samoa,2019,4632.08,NA
San Marino,2019,48043.86,NA
Saudi Arabia,2019,24506.435,35.141150286986
Senegal,2019,1436.224,24.192231933236
Serbia,2019,7417.206,NA
Seychelles,2019,17454.845,34.822662679575
Sierra Leone,2019,521.396,NA
Singapore,2019,66070.471,NA
Slovak Republic,2019,19398.856,40.66093909493
Slovenia,2019,26112.484,43.210922030532
Solomon Islands,2019,2417.332,33.364505142052
Somalia,2019,451.205,NA
Spain,2019,29603.298,42.319477649422
Sri Lanka,2019,4082.694,19.45318081053
Sudan,2019,776.549,18.647052595654
Suriname,2019,6662.874,42.324950700351
Sweden,2019,51694.498,48.05566518979
Switzerland,2019,84473.28,31.966917043188
Syria,2019,NA,NA
São Tomé and Príncipe,2019,2021.926,NA
Taiwan Province of China,2019,25903.168,NA
Tajikistan,2019,893.318,NA
Tanzania,2019,1077.739,16.622710478171
Thailand,2019,7812.108,21.820341353712
Timor-Leste,2019,1568.727,NA
Togo,2019,875.73,16.042053728312
Tonga,2019,5095.614,NA
Trinidad and Tobago,2019,17096.837,30.628388091295
Tunisia,2019,3556.377,29.626099445642
Turkmenistan,2019,8917.983,NA
Tuvalu,2019,5046.827,NA
"Türkiye, Republic of",2019,9132.945,35.716621878017
Uganda,2019,955.605,18.291319404192
Ukraine,2019,3687.839,41.348097554448
United Arab Emirates,2019,43981.605,30.296223006558
United Kingdom,2019,42797.258,38.247749838934
United States,2019,65077.295,35.726107258827
Uruguay,2019,17404.371,31.07015290841
Uzbekistan,2019,1812.738,27.28483840109
Vanuatu,2019,3187.38,39.819637040484
Venezuela,2019,2624.411,18.724610732996
Vietnam,2019,3439.102,NA
West Bank and Gaza,2019,3442.754,NA
Yemen,2019,702.286,13.2074895602
Zambia,2019,1268.121,NA
Zimbabwe,2019,1746.508,NA
Caribbean,2019,5052.444,NA
East Asia,2019,13620.268,NA
Eastern Europe,2019,11615.211,NA
North Africa,2019,3717.46,NA
Sub-Saharan Africa,2019,1720.36,NA
