Price,brand,ram_gb,Touchscreen
34649,ASUS,4,No
38999,Lenovo,4,No
39999,Lenovo,4,No
69990,ASUS,8,No
26990,ASUS,4,No
22990,ASUS,4,No
21990,ASUS,4,No
58799,ASUS,8,No
49999,Lenovo,4,No
59990,acer,4,No
93700,acer,4,No
72990,acer,4,No
17490,Avita,4,No
22990,ASUS,4,No
35990,ASUS,4,No
56490,HP,8,Yes
65390,HP,8,No
31999,Lenovo,4,No
32490,HP,8,No
31799,Lenovo,4,No
29890,ASUS,4,No
23990,ASUS,4,No
32955,HP,4,No
46200,HP,4,No
34429,ASUS,4,No
37990,Lenovo,8,No
35990,ASUS,4,No
33980,ASUS,8,No
39990,HP,8,No
39490,DELL,8,No
53990,HP,8,Yes
38990,acer,8,No
37990,ASUS,8,No
37890,ASUS,8,No
38990,Lenovo,8,No
37990,Lenovo,8,No
41990,DELL,8,No
45990,ASUS,8,No
39990,Lenovo,8,No
42490,DELL,8,No
36990,DELL,4,No
53990,Lenovo,8,Yes
36990,ASUS,8,No
38940,Lenovo,4,No
39490,DELL,4,No
45990,ASUS,8,No
39999,Lenovo,8,No
42990,DELL,8,No
49990,DELL,8,Yes
41490,DELL,8,No
41990,DELL,8,No
41990,Lenovo,8,No
38490,ASUS,8,No
38990,Lenovo,4,No
44990,Lenovo,4,No
36490,Lenovo,4,No
38970,Lenovo,8,No
44900,HP,4,No
38990,MSI,4,No
44427,DELL,4,No
35990,ASUS,4,No
40200,Lenovo,4,No
40990,Lenovo,4,No
42490,DELL,4,No
23990,acer,4,No
71999,DELL,4,Yes
39990,ASUS,4,No
41998,Lenovo,4,No
41990,ASUS,4,No
39999,Lenovo,4,No
39990,ASUS,4,No
39998,Lenovo,4,No
42490,HP,4,No
41990,Lenovo,4,No
48490,ASUS,4,No
44376,HP,4,No
43900,DELL,4,No
46690,DELL,4,No
40990,Lenovo,4,No
39990,DELL,4,No
43990,Lenovo,4,No
36990,ASUS,4,No
48500,DELL,8,No
48990,ASUS,8,No
23490,ASUS,4,No
54238,HP,4,Yes
37990,ASUS,8,No
42990,HP,8,No
42990,HP,8,No
35990,ASUS,4,No
42990,ASUS,8,No
51990,ASUS,8,Yes
48990,ASUS,8,No
42990,ASUS,8,No
38990,Lenovo,8,No
45990,DELL,8,No
42490,HP,8,No
43970,HP,8,No
39990,ASUS,4,No
48990,MSI,8,No
54990,HP,8,No
40990,MSI,8,No
41990,ASUS,8,No
54990,Lenovo,8,Yes
44990,ASUS,8,No
41250,HP,8,No
44990,HP,8,No
42990,ASUS,8,No
60790,DELL,8,Yes
45650,HP,8,No
41990,DELL,8,No
45490,DELL,8,No
44990,ASUS,8,No
42990,Lenovo,8,No
45490,HP,4,No
38799,HP,4,No
69267,HP,4,Yes
51649,ASUS,4,No
47990,HP,4,No
40990,ASUS,4,No
42990,ASUS,4,No
44890,ASUS,4,No
41490,ASUS,4,No
50990,HP,4,No
48900,HP,4,No
40990,ASUS,4,No
41790,DELL,4,No
57999,Lenovo,4,Yes
45930,DELL,8,No
55490,HP,8,Yes
32890,ASUS,8,No
35990,Lenovo,8,No
42490,DELL,8,No
42190,DELL,8,No
39490,DELL,8,No
43690,HP,8,No
35990,ASUS,4,No
43800,DELL,8,No
38990,Lenovo,8,No
34990,ASUS,4,No
38900,ASUS,8,No
39990,DELL,4,No
40890,DELL,4,No
36990,Lenovo,4,No
39990,HP,4,No
41990,HP,4,No
43970,DELL,4,No
39790,HP,4,No
35590,ASUS,4,No
36490,HP,4,No
38990,ASUS,4,No
33990,ASUS,4,No
43400,DELL,4,No
24990,ASUS,4,No
40750,HP,4,No
43000,DELL,4,No
38000,ASUS,4,No
37990,DELL,8,No
49279,HP,8,No
38999,Lenovo,8,No
41500,ASUS,8,No
36999,acer,4,No
42900,DELL,8,No
21490,ASUS,4,No
41480,DELL,8,No
32990,ASUS,8,No
38680,ASUS,8,No
23990,ASUS,4,No
40390,DELL,8,No
33990,ASUS,4,No
20490,ASUS,4,No
41490,DELL,8,No
45490,DELL,8,No
44490,DELL,8,No
41890,ASUS,8,No
42990,DELL,4,No
40990,acer,8,No
48990,DELL,8,No
43590,DELL,4,No
44690,DELL,4,No
40990,ASUS,4,No
43990,DELL,4,No
43590,DELL,4,No
41390,DELL,4,No
44290,DELL,4,No
48999,DELL,4,No
39990,DELL,4,No
46390,DELL,8,No
18990,ASUS,4,No
17990,ASUS,4,No
26470,HP,4,No
27990,HP,4,No
29999,Lenovo,4,No
25990,Lenovo,4,No
16990,Lenovo,4,No
24990,Lenovo,4,No
50990,acer,8,No
119990,acer,8,No
94190,acer,8,No
106167,ASUS,8,No
68090,DELL,8,No
139990,DELL,8,No
55990,HP,8,No
102551,HP,8,No
46990,Lenovo,8,No
76012,HP,8,No
49490,Lenovo,8,No
86867,acer,8,No
48990,ASUS,8,No
55990,DELL,8,No
81998,acer,8,Yes
136590,HP,8,Yes
59490,acer,8,No
49800,ASUS,8,No
61999,Lenovo,8,No
54990,HP,8,No
53990,HP,8,No
52990,Lenovo,8,No
67990,HP,16,No
57990,ASUS,8,No
62300,Lenovo,16,No
