Source,Group,SubGroup,Cost,Amount,ID,Chapter,Name,Description,Alanine,Alpha-carotene,Alpha-tocopherol,Arginine,Asparagine,Aspartic acid,Available carbohydrate by difference,Beta-carotene,Beta-carotene equivalents,Beta-tocopherol,Beta-tocopherol + Gamma-tocopherol,Biotin,Boron,Cadmium,Calcium,Chloride,Cholecalciferol (Vitamin D3),Cholesterol,Chromium,Cobalt,Copper,Cystine,Delta-tocopherol,Dietary folate equivalents,"Disaccharides, total",Dry matter,Edible portion,"Energy, total metabolisable (kcal)","Energy, total metabolisable (kcal, including dietary fibre)","Energy, total metabolisable (kJ)","Energy, total metabolisable (kJ, including dietary fibre)",Ergocalciferol (Vitamin D2),"Fat, total",Fatty acid 18:3 omega-3,Fatty acid 20:5 omega-3,Fatty acid 22:5 omega-3,Fatty acid 22:6 omega-3,"Fatty acid cis,cis 18:2 omega-6","Fatty acids, total","Fatty acids, total long chain polyunsaturated omega-3","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated omega-3","Fatty acids, total saturated","Fatty acids, total trans","Fibre, total dietary","Fibre, water-insoluble","Fibre, water-soluble",Fluoride,"Folate food, naturally occurring food folates","Folate, total","Folic acid, synthetic folic acid",Fructose,Gamma-tocopherol,Glucose,Glutamic acid,Glycine,Glycogen,Histidine,Hydroxyproline,Iodide,Iron,Isoleucine,Lactic acid (grams),Lactose,Lead,Leucine,Lithium,Lutein,Lycopene,Lysine,Magnesium,Malic acid (grams),Maltodextrin,Maltose,Manganese,Mercury,Methionine,Molybdenum,"Monosaccharides, total",Niacin equivalents from tryptophan,"Niacin equivalents, total","Niacin, preformed",Nickel,"Nitrogen, total",Nitrogen-to-protein conversion factor,"Organic acids, total (grams)",Oxalic acid (grams),Pantothenic acid,Phenylalanine,Phosphorus,"Phytosterols, total","Polysaccharides, non-starch","Polysaccharides, non-starch, water-insoluble","Polysaccharides, non-starch, water-soluble",Potassium,Proline,"Protein, total; calculated from total nitrogen","Proximates, total",Quinic acid (grams),Retinol,Riboflavin,Rubidium,Selenium,Serine,Silicon (acid soluble),Sodium,"Starch, resistant","Starch, total",Succinic acid (grams),Sucrose,"Sugar, added","Sugar, free","Sugars, total",Sulphur,Taurine,Thiamin,Threonine,Tin,Total carbohydrate by difference,Total carbohydrates by summation,Total fat-to-total fatty acids conversion factor,Tryptophan,Tyrosine,Valine,Vanadium,"Vitamin A, retinol activity equivalents","Vitamin A, retinol equivalents",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D; calculated by summation,"Vitamin E, alpha-tocopherol equivalents",Vitamin K,Water,Zeaxanthin,Zinc
Animal,Beef,Beef blade ,2.042333333,1,M1170,M,"Beef, forequarter bolar, separable lean & fat, braised","Beef, forequarter bolar, separable lean & fat, braised",1505.04,0,0.83,1902.6,2300.16,0,0,0,0,0,0,0,0,0,6.54,0,0.23,90.89,0,0,0.12,340.76,0,5.38,0,42.43,94.1,228.08,228.08,954.89,954.89,0,11.57,0.093,0.026,0.04,0.005,0.137,8.554,0.073,3.895,0.433,0.166,4.227,0.327,0,0,0,0,5.38,5.38,0,0,0,0,4046.58,1718.02,0,837.71,0,0.91,2.55,1135.88,0,0,0,2129.78,0,0,0,2214.97,18.37,0,0,0,11.31,0,866.11,0,0,4.83,6.94,2.12,0,4.96,6.25,0,0,0.38,1107.49,156.14,0,0,0,0,175.05,1050.69,31,101.2,0,15.95,0.13,0,2.2,993.9,0,32.07,0,0,0,0,0,0,0,0,85.19,0.04,1008.1,0,0,0,0,283.97,951.3,1206.88,0,15.95,15.95,1.53,0.18,0,0.23,0.83,0,57.57,0,5.93
Animal,Beef,Beef blade ,2.042333333,1,M1154,M,"Beef, forequarter bolar, separable lean & fat, raw","Beef, forequarter bolar, separable lean & fat, raw",1036.61,0,0.45,1310.53,1586.28,0,0,0,0,0,0,0,0,0,4.34,0,0.14,56.6,0,0,0.14,235.86,0,5.36,0,29.74,97.9,158.76,158.76,664.53,664.53,0,8.17,0.07,0.019,0.03,0.003,0.096,6.215,0.054,2.869,0.318,0.123,3.028,0.239,0,0,0,0,5.36,5.36,0,0,0,0,2787.41,1179.6,0,582.12,0,0.88,1.97,784.04,0,0,0,1468.44,0,0,0,1527.03,21.52,0,0,0,12.73,0,600.49,0,0,3.33,6.34,3.01,0,3.41,6.25,0,0,0.52,763.18,182.9,0,0,0,0,312.89,720.64,21.3,100.67,0,8.88,0.1,0,1.06,684.89,0,53.67,0,0,0,0,0,0,0,0,56.99,0.05,695.49,0,0,0,0,195.97,655.93,833.03,0,8.88,8.88,1.71,0.32,0,0.14,0.45,0,70.26,0,3.46
Animal,Beef,Beef blade ,2.042333333,1,M1069,M,"Beef, forequarter bolar, separable lean, braised","Beef, forequarter bolar, separable lean, braised",1627.87,0,0.76,2057.87,2487.87,0,0,0,0,0,0,0,0,0,5.5,0,0.21,91.3,0,0,0.13,368.57,0,5.97,0,39.54,86,193.2,193.2,812.89,812.89,0,6.57,0.06,0.028,0.037,0.006,0.11,4.605,0.073,2.366,0.341,0.134,1.898,0.095,0,0,0,0,5.97,5.97,0,0,0,0,4376.81,1858.22,0,906.08,0,0.88,2.7,1228.58,0,0,0,2303.58,0,0,0,2395.73,19.37,0,0,0,11.96,0,936.79,0,0,5.22,7.45,2.23,0,5.36,6.25,0,0,0.4,1197.86,164.99,0,0,0,0,180.54,1136.44,33.53,101.7,0,13.49,0.14,0,2,1075.01,0,32.84,0,0,0,0,0,0,0,0,92.14,0.04,1090.36,0,0,0,0,307.14,1028.93,1305.36,0,13.49,13.49,1.65,0.19,0,0.21,0.76,0,60.46,0,6.38
Animal,Beef,Beef blade ,2.042333333,1,M1044,M,"Beef, forequarter bolar, separable lean, raw","Beef, forequarter bolar, separable lean, raw",1072.58,0,0.4,1355.9,1639.22,0,0,0,0,0,0,0,0,0,3.55,0,0.13,55.5,0,0,0.15,242.85,0,5.68,0,26.89,92.4,128.77,128.77,541.66,541.66,0,4.49,0.044,0.02,0.029,0.003,0.077,3.284,0.055,1.68,0.242,0.099,1.361,0.066,0,0,0,0,5.68,5.68,0,0,0,0,2883.82,1224.36,0,597,0,0.77,2.06,809.49,0,0,0,1517.8,0,0,0,1578.51,22.49,0,0,0,13.39,0,617.24,0,0,3.44,6.58,3.14,0,3.53,6.25,0,0,0.55,789.26,190.45,0,0,0,0,325.16,748.78,22.09,100.68,0,6.25,0.11,0,1,708.31,0,55.2,0,0,0,0,0,0,0,0,60.71,0.05,718.43,0,0,0,0,202.37,677.95,860.09,0,6.25,6.25,1.8,0.33,0,0.13,0.4,0,73.11,0,3.63
Animal,Beef,Beef blade ,2.042333333,1,M1171,M,"Beef, forequarter brisket navel end, separable lean & fat, braised","Beef, forequarter brisket navel end, separable lean & fat, braised",870.8,0,1.11,1100.82,1330.84,0,1.09,0,0,0,0,0,0,0,11.66,0,0.31,83.1,0,0,0.05,197.16,0,3.04,0,57.72,100,414.7,414.7,1714.85,1714.85,0,38.11,0.254,0.007,0.054,0,0.279,29.874,0.061,12.774,0.914,0.315,16.186,1.502,0,0,0,0,3.04,3.04,0,0,0,0,2341.3,994.03,0,484.69,0,1.55,1.49,657.21,0,0,0,1232.26,0,0,0,1281.55,11.7,0,0,0,2.89,0,501.12,0,0,2.79,4.51,1.72,0,2.87,6.25,0,0,0.11,640.78,92.7,0,0,0,0,132.95,607.92,17.93,98.91,0,27.91,0.07,0,3.85,575.06,0,31.8,0,0,0,0,0,0,0,0,49.29,0.03,583.27,0,1.09,0,0,164.3,550.41,698.28,0,27.91,27.91,0.84,0.09,0,0.31,1.11,0,42.28,0,3.7
Animal,Beef,Beef blade ,2.042333333,1,M1155,M,"Beef, forequarter brisket navel end, separable lean & fat, raw","Beef, forequarter brisket navel end, separable lean & fat, raw",729.87,0,0.8,923.29,1127.84,0,0,0,0,0,0,0,0,0,9.68,0,0.21,64.39,0,0,0.03,172.29,0,3.92,0,50.7,100,386.22,386.22,1596,1596,0,36.36,0.249,0.006,0.029,0,0.251,28.7,0.035,12.399,0.871,0.284,15.429,1.481,0,0,0,0,3.92,3.92,0,0,0,0,1964.21,810.64,0,437.57,0,3.1,1.04,561.16,0,0,0,1042.2,0,0,0,1082.99,12.14,0,0,0,0.76,0,444.09,0,0,2.38,4.82,2.44,0,2.36,6.25,0,0,0.22,539.48,110.28,0,0,0,0,208.45,491.06,14.75,100.95,0,28.2,0.07,0,2.46,484.07,0,50.54,0,0,0,0,0,0,0,0,33.97,0.06,495.92,0,0,0,0,140.04,465.69,596.17,0,28.2,28.2,0.22,0.16,0,0.21,0.8,0,49.3,0,2.39
Animal,Beef,Beef blade ,2.042333333,1,M1070,M,"Beef, forequarter brisket navel end, separable lean, braised","Beef, forequarter brisket navel end, separable lean, braised",1424.93,0,0.71,1801.33,2177.73,0,0,0,0,0,0,0,0,0,6.71,0,0.22,78.5,0,0,0.07,322.63,0,6.49,0,45.12,59.6,264.72,264.72,1104.59,1104.59,0,16.37,0.1,0.016,0.035,0,0.164,13.107,0.051,6.997,0.509,0.151,5.6,0.422,0,0,0,0,6.49,6.49,0,0,0,0,3831.19,1626.57,0,793.12,0,1.95,1.84,1075.42,0,0,0,2016.41,0,0,0,2097.07,14.43,0,0,0,0,0,820.01,0,0,4.57,7.02,2.45,0,4.7,6.25,0,0,0,1048.53,112.51,0,0,0,0,142,994.76,29.35,101.52,0,15.99,0.09,0,3.63,940.99,0,39.42,0,0,0,0,0,0,0,0,80.66,0.02,954.44,0,0,0,0,268.86,900.66,1142.63,0,15.99,15.99,1.34,0.1,0,0.22,0.71,0,54.88,0,5.76
Animal,Beef,Beef blade ,2.042333333,1,M1045,M,"Beef, forequarter brisket navel end, separable lean, raw","Beef, forequarter brisket navel end, separable lean, raw",958.52,0,0.43,1211.71,1464.91,0,0,0,0,0,0,0,0,0,4.78,0,0.15,52.7,0,0,0.05,217.02,0,6.76,0,32.05,67.2,193.68,193.68,807.19,807.19,0,12.75,0.076,0.01,0.018,0,0.132,10.281,0.028,5.484,0.385,0.105,4.412,0.356,0,0,0,0,6.76,6.76,0,0,0,0,2577.15,1094.16,0,533.51,0,3.48,1.4,723.41,0,0,0,1356.39,0,0,0,1410.65,16.92,0,0,0,0,0,551.6,0,0,3.07,6.65,3.58,0,3.16,6.25,0,0,0.33,705.32,148.01,0,0,0,0,277.47,669.15,19.74,101.27,0,12.86,0.1,0,2.6,632.98,0,66.36,0,0,0,0,0,0,0,0,54.26,0.03,642.03,0,0,0,0,180.85,605.86,768.62,0,12.86,12.86,1.97,0.24,0,0.15,0.43,0,67.95,0,3.64
Animal,Beef,Beef blade ,2.042333333,1,M1172,M,"Beef, forequarter brisket point end, separable lean & fat, braised","Beef, forequarter brisket point end, separable lean & fat, braised",1546.23,0,0.91,1954.66,2363.1,0,0,0,0,0,0,0,0,0,7.04,0,0.19,94.48,0,0,0.11,350.09,0,5.81,0,44.11,91.8,236.09,236.09,988.29,988.29,0,12.08,0.105,0.028,0.049,0.003,0.164,9.572,0.082,4.467,0.519,0.187,4.587,0.377,0,0,0,0,5.81,5.81,0,0,0,0,4157.31,1765.03,0,860.64,0,0.91,2.62,1166.96,0,0,0,2188.06,0,0,0,2275.58,18.58,0,0,0,11.88,0,889.81,0,0,4.96,8.2,3.24,0,5.1,6.25,0,0,0.02,1137.79,157.92,0,0,0,0,172.73,1079.44,31.85,100.59,0,14.93,0.11,0,5.2,1021.09,0,29.49,0,0,0,0,0,0,0,0,87.52,0.02,1035.68,0,0,0,0,291.74,977.33,1239.9,0,14.93,14.93,1.1,0.18,0,0.19,0.91,0,55.89,0,4.84
Animal,Beef,Beef blade ,2.042333333,1,M1156,M,"Beef, forequarter brisket point end, separable lean & fat, raw","Beef, forequarter brisket point end, separable lean & fat, raw",973.59,0,0.54,1230.93,1491.18,0,0,0,0,0,0,0,0,0,4.88,0,0.13,54.69,0,0,0.09,222.28,0,5.16,0,30.2,100,166.41,166.41,695.22,695.22,0,9.61,0.081,0.016,0.028,0.002,0.111,8.167,0.048,3.892,0.367,0.129,3.907,0.343,0,0,0,0,5.16,5.16,0,0,0,0,2618.15,1105.46,0,550.11,0,1.95,1.93,737.49,0,0,0,1380.18,0,0,0,1435.15,20.15,0,0,0,10.03,0,566.58,0,0,3.13,7.2,4.07,0,3.2,6.25,0,0,0.25,717.04,178.54,0,0,0,0,304.52,674.83,19.98,100.28,0,12.15,0.05,0,2.62,643.48,0,49.07,0,0,0,0,0,0,0,0,52.57,0.04,653.97,0,0,0,0,184.31,616.52,783.57,0,12.15,12.15,1.3,0.3,0,0.13,0.54,0,69.8,0,2.49
