Date,Price,Open,High,Low,Change %,,,,,,,
3/31/2025,903.53,903.53,910.72,895.32,0.01,,,,,,,
3/27/2025,903.42,903.42,903.42,899.82,0.2,,,,,,,
3/26/2025,901.66,901.66,906.87,898.15,-0.13,,,,,,,
3/24/2025,902.84,902.84,906.67,899.14,0.15,,,,,,,
3/20/2025,901.53,901.53,904.58,899.31,-0.65,,,,,,,
3/6/2025,907.41,907.41,909.28,905.36,0.03,,,,,,,
3/5/2025,907.14,907.14,907.27,893.8,1.49,,,,,,,
3/4/2025,893.8,893.8,904.25,893.09,-1.16,,,,,,,
2/28/2025,904.25,904.25,905.89,897.16,-0.13,,,,,,,
2/27/2025,905.43,905.43,906.01,897.31,0.77,,,,,,,
2/26/2025,898.54,898.54,906.88,895.82,-0.41,,,,,,,
2/25/2025,902.23,902.23,902.81,893.05,0.6,,,,,,,
2/24/2025,896.82,896.82,896.82,889.13,0.47,,,,,,,
2/21/2025,892.61,892.61,902.61,891.04,-1.11,,,,,,,
2/20/2025,902.61,902.61,902.61,898.14,0.05,,,,,,,
2/19/2025,902.19,902.19,902.58,895.79,0.58,,,,,,,
2/18/2025,896.98,896.98,903.59,896.37,-0.05,,,,,,,
2/17/2025,897.46,897.46,897.96,894.79,0.01,,,,,,,
2/14/2025,897.33,897.33,897.77,891.7,0.63,,,,,,,
2/13/2025,891.7,891.7,896.36,886.16,-0.32,,,,,,,
2/12/2025,894.58,894.58,895.11,889.36,-0.04,,,,,,,
2/11/2025,894.95,894.95,896.44,886.73,-0.13,,,,,,,
2/10/2025,896.11,896.11,902.19,886.93,0.2,,,,,,,
2/7/2025,894.3,894.3,895.24,889.28,0.36,,,,,,,
2/6/2025,891.11,891.11,893.43,890.76,-0.19,,,,,,,
2/5/2025,892.82,892.82,893.79,884.08,0.39,,,,,,,
2/4/2025,889.31,889.31,889.69,885.29,0.4,,,,,,,
2/3/2025,885.74,885.74,892.36,880.04,-0.74,,,,,,,
1/31/2025,892.36,892.36,895.06,884.02,0.05,,,,,,,
1/30/2025,891.87,891.87,892.93,887.33,0.33,,,,,,,
1/29/2025,888.94,888.94,894.34,888.94,-0.06,,,,,,,
1/28/2025,889.45,889.45,890.89,880.34,0.18,,,,,,,
1/27/2025,887.84,887.84,889.05,881.71,0.03,,,,,,,
1/24/2025,887.56,887.56,891.8,884.77,-0.48,,,,,,,
1/23/2025,891.8,891.8,892.67,881.66,-0.08,,,,,,,
1/22/2025,892.47,892.47,894.18,891.34,0.03,,,,,,,
1/21/2025,892.24,892.24,894.01,883.54,-0.05,,,,,,,
1/20/2025,892.69,892.69,894.36,889.08,0.27,,,,,,,
1/17/2025,890.27,890.27,892.8,886.86,-0.28,,,,,,,
1/16/2025,892.8,892.8,893.27,890.28,0.18,,,,,,,
1/15/2025,891.23,891.23,892.16,874.36,-0.08,,,,,,,
1/14/2025,891.93,891.93,894.65,891.91,0,,,,,,,
1/13/2025,891.91,891.91,896.38,891.91,-0.14,,,,,,,
1/10/2025,893.13,893.13,895.78,892.82,0.03,,,,,,,
1/9/2025,892.82,892.82,892.82,875.86,0.75,,,,,,,
1/8/2025,886.21,886.21,889.14,884.41,-0.19,,,,,,,
1/7/2025,887.88,887.88,895.08,887.88,-0.78,,,,,,,
1/6/2025,894.9,894.9,895.85,888.91,0.63,,,,,,,
1/3/2025,889.27,889.27,894.61,876.48,-0.25,,,,,,,
1/2/2025,891.53,891.53,893.78,886.45,-0.14,,,,,,,
12/27/2024,892.74,892.74,894.29,888.29,-0.04,,,,,,,
12/26/2024,893.14,893.14,894.49,889.4,0,,,,,,,
12/23/2024,893.14,893.14,894.49,889.4,0.26,,,,,,,
12/20/2024,890.83,890.83,890.83,873.8,1.32,,,,,,,
12/19/2024,879.19,879.19,879.19,860.77,1.94,,,,,,,
12/18/2024,862.47,862.47,864.63,853.51,0.29,,,,,,,
12/17/2024,859.94,859.94,861.02,848.63,1.33,,,,,,,
12/16/2024,848.63,848.63,849.32,840.8,0.55,,,,,,,
12/13/2024,843.95,843.95,849.09,842.07,0.22,,,,,,,
12/12/2024,842.07,842.07,845.36,839.13,-0.23,,,,,,,
12/11/2024,844.03,844.03,848.8,840.8,-0.56,,,,,,,
12/10/2024,848.8,848.8,848.8,845.04,0.32,,,,,,,
12/9/2024,846.13,846.13,849.47,844.06,-0.18,,,,,,,
12/6/2024,847.67,847.67,848.62,842.66,0.15,,,,,,,
12/5/2024,846.44,846.44,848.53,844.8,-0.25,,,,,,,
12/4/2024,848.53,848.53,848.53,845.11,0.19,,,,,,,
12/3/2024,846.92,846.92,851.55,840.68,-0.45,,,,,,,
12/2/2024,850.75,850.75,851.64,844.69,0.49,,,,,,,
11/29/2024,846.6,846.6,849.3,843.27,-0.2,,,,,,,
11/28/2024,848.27,848.27,848.27,841.36,0.7,,,,,,,
11/27/2024,842.36,842.36,845.73,842.06,-0.39,,,,,,,
11/26/2024,845.7,845.7,847.18,841.28,-0.17,,,,,,,
11/25/2024,847.18,847.18,849.27,842.31,0.09,,,,,,,
11/22/2024,846.41,846.41,852.29,844.76,-0.66,,,,,,,
11/21/2024,852.07,852.07,854.39,843.16,-0.27,,,,,,,
11/20/2024,854.39,854.39,855.4,844.68,0.95,,,,,,,
11/19/2024,846.34,846.34,851.94,843.03,-0.57,,,,,,,
11/18/2024,851.16,851.16,853.57,846.71,-0.28,,,,,,,
11/15/2024,853.51,853.51,853.51,842.71,0.61,,,,,,,
11/14/2024,848.34,848.34,853.35,844.58,-0.54,,,,,,,
11/13/2024,852.98,852.98,858.42,851.23,-0.48,,,,,,,
11/12/2024,857.06,857.06,857.06,852.47,0.2,,,,,,,
11/11/2024,855.37,855.37,859.4,854.25,-0.47,,,,,,,
11/8/2024,859.4,859.4,862.36,853.91,-0.34,,,,,,,
11/7/2024,862.36,862.36,866.61,861.57,-0.22,,,,,,,
11/6/2024,864.23,864.23,864.43,852,1.44,,,,,,,
11/5/2024,852,852,857.58,847.81,-0.65,,,,,,,
11/4/2024,857.58,857.58,858.88,851.87,0.4,,,,,,,
11/1/2024,854.17,854.17,854.17,841.83,0.59,,,,,,,
10/31/2024,849.2,849.2,850.15,838.59,0.93,,,,,,,
10/30/2024,841.39,841.39,841.39,833.63,0.4,,,,,,,
10/29/2024,838.02,838.02,842.98,835.59,-0.57,,,,,,,
10/28/2024,842.81,842.81,847.18,842.81,-0.52,,,,,,,
10/25/2024,847.18,847.18,847.8,843.11,0.12,,,,,,,
10/24/2024,846.19,846.19,848.56,845.65,-0.25,,,,,,,
10/23/2024,848.29,848.29,849.72,840.48,0.41,,,,,,,
10/22/2024,844.8,844.8,846.91,842.01,-0.02,,,,,,,
10/21/2024,844.96,844.96,854.43,844.8,-1.11,,,,,,,
10/18/2024,854.43,854.43,854.43,845.49,0.32,,,,,,,
10/17/2024,851.71,851.71,857.77,849.92,-0.57,,,,,,,
10/16/2024,856.59,856.59,856.59,845.42,1.01,,,,,,,
10/15/2024,848.01,848.01,854.86,847.53,-0.67,,,,,,,
10/14/2024,853.7,853.7,864.9,852.37,-0.2,,,,,,,
10/11/2024,855.4,855.4,861.72,855.4,-0.41,,,,,,,
10/10/2024,858.94,858.94,861.74,851.36,-0.32,,,,,,,
10/9/2024,861.74,861.74,866.66,855.35,-0.16,,,,,,,
10/8/2024,863.16,863.16,863.16,855.54,0.59,,,,,,,
10/7/2024,858.13,858.13,859.05,853.56,0.39,,,,,,,
10/4/2024,854.78,854.78,854.88,851.59,0.06,,,,,,,
10/3/2024,854.3,854.3,856.83,850.39,-0.11,,,,,,,
10/2/2024,855.23,855.23,855.45,852.9,0.17,,,,,,,
10/1/2024,853.74,853.74,858.29,853.37,-0.53,,,,,,,
9/30/2024,858.29,858.29,859.11,855.57,0.3,,,,,,,
9/27/2024,855.75,855.75,857.17,851.02,-0.01,,,,,,,
9/26/2024,855.82,855.82,857.58,845.55,-0.21,,,,,,,
9/25/2024,857.58,857.58,861.39,854.96,0.31,,,,,,,
